RuntimeLogger 2026-09-10 09:44:33,115 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 1 ms
RuntimeLogger 2026-09-10 09:44:33,607 INFO (thrift-server-pool-7|249) [ReportHandler.handleReport():239] receive report from be 1787644418423. type: TASK, report version -1, current queue size: 1
RuntimeLogger 2026-09-10 09:44:33,607 INFO (report-thread|171) [ReportHandler.taskReport():761] finished to handle task report from backend 1787644418423-litefuse-prod-doris-be-0.litefuse-prod-doris-be-internal.litefuse-prod.svc.cluster.local, diff task num: 0, publishTaskSize: 0, runningTasks: [], cost: 0 ms.
RuntimeLogger 2026-09-10 09:44:34,115 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 0 ms
RuntimeLogger 2026-09-10 09:44:34,351 INFO (thrift-server-pool-22|426) [DatabaseTransactionMgr.beginTransaction():382] begin transaction: txn id 15040 with label open_telemetry_otel_otel_logs_20260910094434_72f9e592-4608-470b-aeeb-fc5dad1b425b from coordinator BE: 10.42.0.73, listener id: -1
RuntimeLogger 2026-09-10 09:44:34,352 INFO (thrift-server-pool-25|429) [NereidsFileGroupInfo.getFileStatusAndCalcInstance():226] number instance of file scan node is: 1, bytes per instance: 9223372036854775807
RuntimeLogger 2026-09-10 09:44:34,413 INFO (thrift-server-pool-9|265) [DatabaseTransactionMgr.commitTransaction():825] transaction:[TransactionState. transaction id: 15040, label: open_telemetry_otel_otel_logs_20260910094434_72f9e592-4608-470b-aeeb-fc5dad1b425b, db id: 1787644432799, table id list: 1787644432800, callback id: -1, coordinator: BE: 10.42.0.73, transaction status: COMMITTED, error replicas num: 0, replica ids: , prepare time: 1789033474351, commit time: 1789033474409, finish time: -1, reason: , table commit info: {1787644432800=TableCommitInfo{tableId=1787644432800, idToPartitionCommitInfo={1787644432847=partitionId=1787644432847, version=3819, versionTime=1789033474409, isTemp=false}, version=0, versionTime=0}}] successfully committed
RuntimeLogger 2026-09-10 09:44:34,414 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.genPublishTask():169] send publish tasks for transaction: 15040, db: 1787644432799
RuntimeLogger 2026-09-10 09:44:34,424 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.tryFinishTxnAsync():245] try to finish transaction 15040, dbId: 1787644432799, txnId: 15040
RuntimeLogger 2026-09-10 09:44:34,428 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [OlapTable.updateVisibleVersionAndTime():3322] updateVisibleVersionAndTime, tableName: otel_logs, visibleVersion, 3819, visibleVersionTime: 1789033474424
RuntimeLogger 2026-09-10 09:44:34,428 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.updateUpdatedRows():1240] Update rows transactionId is 15040
RuntimeLogger 2026-09-10 09:44:34,428 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.replayUpdateRowsRecord():1359] Update rows for table otel_logs is 431, replicaNum is 1, rows for all replica 431, tablets count 1
RuntimeLogger 2026-09-10 09:44:34,428 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [MTMVService.processEvent():189] processEvent, Event: TableEvent{ctlId=0, ctlName='internal', dbId=1787644432799, dbName='otel', tableId=1787644432800, tableName='otel_logs'} Event{eventId=1787644449782, eventTime=1789033474428, eventType=DATA_CHANGE}
RuntimeLogger 2026-09-10 09:44:34,428 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [DatabaseTransactionMgr.finishTransaction():1215] finish transaction TransactionState. transaction id: 15040, label: open_telemetry_otel_otel_logs_20260910094434_72f9e592-4608-470b-aeeb-fc5dad1b425b, db id: 1787644432799, table id list: 1787644432800, callback id: -1, coordinator: BE: 10.42.0.73, transaction status: VISIBLE, error replicas num: 0, replica ids: , prepare time: 1789033474351, commit time: 1789033474409, finish time: 1789033474424, reason: , table commit info: {1787644432800=TableCommitInfo{tableId=1787644432800, idToPartitionCommitInfo={1787644432847=partitionId=1787644432847, version=3819, versionTime=1789033474409, isTemp=false}, version=3819, versionTime=1789033474424}} successfully, publish times 1, publish result QUORUM_SUCC
RuntimeLogger 2026-09-10 09:44:35,078 INFO (Dictionary Manager|58) [DictionaryManager.collectDictionaryStatus():710] Collecting all dictionaries status for 0 dictionaries
RuntimeLogger 2026-09-10 09:44:35,079 INFO (Dictionary Manager|58) [DictionaryManager.collectDictionaryStatus():778] Collect 0 dictionaries status succeed
RuntimeLogger 2026-09-10 09:44:35,116 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 1 ms
RuntimeLogger 2026-09-10 09:44:36,116 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 0 ms
RuntimeLogger 2026-09-10 09:44:37,117 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 1 ms
RuntimeLogger 2026-09-10 09:44:38,114 INFO (thrift-server-pool-19|423) [DatabaseTransactionMgr.beginTransaction():382] begin transaction: txn id 15041 with label open_telemetry_otel_otel_metrics_sum_20260910094438_d7491358-a516-45ff-97f6-d3131160b946 from coordinator BE: 10.42.0.75, listener id: -1
RuntimeLogger 2026-09-10 09:44:38,116 INFO (thrift-server-pool-18|422) [NereidsFileGroupInfo.getFileStatusAndCalcInstance():226] number instance of file scan node is: 1, bytes per instance: 9223372036854775807
RuntimeLogger 2026-09-10 09:44:38,118 INFO (tablet scheduler|34) [TabletScheduler.runAfterCatalogReady():366] finished to tablet scheduler. cost: 1 ms
RuntimeLogger 2026-09-10 09:44:38,135 INFO (thrift-server-pool-23|427) [DatabaseTransactionMgr.beginTransaction():382] begin transaction: txn id 15042 with label open_telemetry_otel_otel_metrics_gauge_20260910094438_657df5dc-0431-4907-86d5-9f0762f6b0d9 from coordinator BE: 10.42.0.74, listener id: -1
RuntimeLogger 2026-09-10 09:44:38,137 INFO (thrift-server-pool-8|254) [NereidsFileGroupInfo.getFileStatusAndCalcInstance():226] number instance of file scan node is: 1, bytes per instance: 9223372036854775807
RuntimeLogger 2026-09-10 09:44:38,168 INFO (thrift-server-pool-17|421) [DatabaseTransactionMgr.commitTransaction():825] transaction:[TransactionState. transaction id: 15041, label: open_telemetry_otel_otel_metrics_sum_20260910094438_d7491358-a516-45ff-97f6-d3131160b946, db id: 1787644432799, table id list: 1787644433158, callback id: -1, coordinator: BE: 10.42.0.75, transaction status: COMMITTED, error replicas num: 0, replica ids: , prepare time: 1789033478114, commit time: 1789033478164, finish time: -1, reason: , table commit info: {1787644433158=TableCommitInfo{tableId=1787644433158, idToPartitionCommitInfo={1787644433205=partitionId=1787644433205, version=3365, versionTime=1789033478164, isTemp=false}, version=0, versionTime=0}}] successfully committed
RuntimeLogger 2026-09-10 09:44:38,169 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.genPublishTask():169] send publish tasks for transaction: 15041, db: 1787644432799
RuntimeLogger 2026-09-10 09:44:38,179 INFO (PUBLISH_VERSION|23) [PublishVersionDaemon.tryFinishTxnAsync():245] try to finish transaction 15041, dbId: 1787644432799, txnId: 15041
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [OlapTable.updateVisibleVersionAndTime():3322] updateVisibleVersionAndTime, tableName: otel_metrics_sum, visibleVersion, 3365, visibleVersionTime: 1789033478179
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.updateUpdatedRows():1240] Update rows transactionId is 15041
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [AnalysisManager.replayUpdateRowsRecord():1359] Update rows for table otel_metrics_sum is 476, replicaNum is 1, rows for all replica 476, tablets count 1
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [MTMVService.processEvent():189] processEvent, Event: TableEvent{ctlId=0, ctlName='internal', dbId=1787644432799, dbName='otel', tableId=1787644433158, tableName='otel_metrics_sum'} Event{eventId=1787644449783, eventTime=1789033478184, eventType=DATA_CHANGE}
RuntimeLogger 2026-09-10 09:44:38,184 INFO (PUBLISH_VERSION_EXEC-31-0|6424) [DatabaseTransactionMgr.finishTransaction():1215] finish transaction TransactionState. transaction id: 15041, label: open_telemetry_otel_otel_metrics_sum_20260910094438_d7491358-a516-45ff-97f6-d3131160b946, db id: 1787644432799, table id list: 1787644433158, callback id: -1, coordinator: BE: 10.42.0.75, transaction status: VISIBLE, error replicas num: 0, replica ids: , prepare time: 1789033478114, commit time: 1789033478164, finish time: 1789033478179, reason: , table commit info: {1787644433158=TableCommitInfo{tableId=1787644433158, idToPartitionCommitInfo={1787644433205=partitionId=1787644433205, version=3365, versionTime=1789033478164, isTemp=false}, version=3365, versionTime=1789033478179}} successfully, publish times 1, publish result QUORUM_SUCC
